DEPT OF ENVIRONMENT PROTECTION,Internal,MECHANICAL ENGINEER I,MECHANICAL ENGINEER,01,Above 50K,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,External,MECHANICAL ENGINEER I,MECHANICAL ENGINEER,01,Above 50K,JOCS- IFA
HOUSING PRESERVATION & DVLPMNT,External,Inspector of Construction Projects,CONSTRUCTION PROJECT MANAGER,01,Above 50K,Building & Tech. Assessment
DEPARTMENT OF TRANSPORTATION,Internal,Assistant General Counsel,AGENCY ATTORNEY,01,Above 50K,Legal Affairs
DEPARTMENT OF TRANSPORTATION,External,Assistant General Counsel,AGENCY ATTORNEY,01,Above 50K,Legal Affairs
DEPARTMENT OF TRANSPORTATION,External,Assistant General Counsel,AGENCY ATTORNEY,03,Above 50K,Legal Affairs
DEPARTMENT OF TRANSPORTATION,Internal,Assistant General Counsel,AGENCY ATTORNEY,03,Above 50K,Legal Affairs
DEPARTMENT OF BUSINESS SERV.,External,"EXECUTIVE DIRECTOR, GROWTH SERVICES",ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,Business Growth Services
DEPARTMENT OF BUSINESS SERV.,External,CERTIFICATION ANALYST,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Defo Certification
DEPARTMENT OF BUSINESS SERV.,Internal,CERTIFICATION ANALYST,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Defo Certification
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Program Specialist, Office of Cross-Systems Initiatives, Bureau of Mental Health",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Program Specialist, Office of Cross-Systems Initiatives, Bureau of Mental Health",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Data  Manager, Bureau of School Health/SH Medical",CITY RESEARCH SCIENTIST,01,Below 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,External,"Data  Manager, Bureau of School Health/SH Medical",CITY RESEARCH SCIENTIST,01,Below 50K,SH Medical
DEPARTMENT OF TRANSPORTATION,Internal,Assistant General Counsel,AGENCY ATTORNEY,02,Above 50K,Legal Affairs
DEPARTMENT OF TRANSPORTATION,External,Assistant General Counsel,AGENCY ATTORNEY,02,Above 50K,Legal Affairs
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Environmental Epidemiologist,  Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,02,Above 50K,Environ Surveillance & Policy
DEPT OF ENVIRONMENT PROTECTION,Internal,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,Sys Oper South East Hudson U
DEPT OF ENVIRONMENT PROTECTION,External,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,Sys Oper South East Hudson U
DEPT OF INFO TECH & TELECOMM,Internal,Timekeeping Associate,COMMUNITY ASSOCIATE,00,Below 50K,Human Resources
DEPARTMENT OF BUILDINGS,Internal,Case Manager,PRINCIPAL ADMINISTRATIVE ASSOC,03,Above 50K,Citywide
DEPARTMENT OF BUILDINGS,External,"Director, Predictive Risk Analytics",COMPUTER SYSTEMS MANAGER,M2,Above 50K,Buildings Analytics Team
DEPARTMENT OF BUILDINGS,Internal,"Director, Predictive Risk Analytics",COMPUTER SYSTEMS MANAGER,M2,Above 50K,Buildings Analytics Team
CONSUMER AFFAIRS,External,Sr. SQL Developer/Data Warehouse Expert,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Tech & Strategic Solutions
DEPT OF INFO TECH & TELECOMM,External,Timekeeping Associate,COMMUNITY ASSOCIATE,00,Below 50K,Human Resources
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Mental Health Training Manager,  School Health Mental Health/SH Reproductive Health",CITY RESEARCH SCIENTIST,03,Above 50K,SH Reproductive Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Mental Health Training Manager,  School Health Mental Health/SH Reproductive Health",CITY RESEARCH SCIENTIST,03,Above 50K,SH Reproductive Health
DEPARTMENT OF PROBATION,External,Investigator Analyst,COMMUNITY COORDINATOR,00,Above 50K,Operations
DEPT OF DESIGN & CONSTRUCTION,External,Specification Writer,ADM ENGINEER (NON MGRL),00,Below 50K,Pub Bldgs/A&E-Arch
DEPT OF HEALTH/MENTAL HYGIENE,External,"Fall Prevention Analyst, Bureau of Environmental Disease and Injury Prevention/Injury and Violence Prevention",CITY RESEARCH SCIENTIST,02,Above 50K,Injury and Violence Prevention
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Fall Prevention Analyst, Bureau of Environmental Disease and Injury Prevention/Injury and Violence Prevention",CITY RESEARCH SCIENTIST,02,Above 50K,Injury and Violence Prevention
DEPARTMENT OF BUILDINGS,Internal,"Director, Predictive Risk Analytics",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Buildings Analytics Team
DEPARTMENT OF PROBATION,Internal,Investigator Analyst,COMMUNITY COORDINATOR,00,Above 50K,Operations
CIVILIAN COMPLAINT REVIEW BD,Internal,Deputy Executive Director For Investigations,DEPUTY EXECUTIVE DIRECTOR (CIV,M4,Above 50K,Civilian Complaint Review Bd
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervisor Constituent Services, Bureau of Vital Statistics",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervisor Constituent Services, Bureau of Vital Statistics",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Training Project Coordinator, Bureau of primary Care Access and Planning",COMMUNITY COORDINATOR,00,Above 50K,Primary Care Access & Planning
DEPT OF HEALTH/MENTAL HYGIENE,External,"Training Project Coordinator, Bureau of primary Care Access and Planning",COMMUNITY COORDINATOR,00,Above 50K,Primary Care Access & Planning
DEPARTMENT FOR THE AGING,External,NY Connects Program Manager,SUPERVISOR II (SOCIAL SERVICES,00,Above 50K,HealthCare Connections
DEPT OF HEALTH/MENTAL HYGIENE,Internal,PUBLIC HEALTH ADVISER (SCHOOL,PUBLIC HEALTH ADVISER (SCHOOL,02,Below 50K,SH Vision
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Manager, Navigation Services, Bureau of Primary Care Information Project.",CITY RESEARCH SCIENTIST,4A,Above 50K,Primary Care Info Project
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Manager, Navigation Services, Bureau of Primary Care Information Project.",CITY RESEARCH SCIENTIST,4A,Above 50K,Primary Care Info Project
DEPT OF PARKS & RECREATION,External,Assistant Records Officer,COMMUNITY ASSOCIATE,00,Below 50K,General Counsel
DEPARTMENT OF INVESTIGATION,Internal,Deputy Inspector General,DEPUTY INSPECTOR GENERAL,M1,Above 50K,Environmental Protection  I.G
DEPARTMENT OF INVESTIGATION,External,Deputy Inspector General,DEPUTY INSPECTOR GENERAL,M1,Above 50K,Environmental Protection  I.G
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Community Preparedness Program Sector Coordinator, Bureau of Policy, Community Resilience and Response",COMMUNITY COORDINATOR,00,Above 50K,"Policy, Resilience & Response"
DEPT OF HEALTH/MENTAL HYGIENE,External,"Community Preparedness Program Sector Coordinator, Bureau of Policy, Community Resilience and Response",COMMUNITY COORDINATOR,00,Above 50K,"Policy, Resilience & Response"
DEPT OF HEALTH/MENTAL HYGIENE,External,"Environmental Health Emergency Data Analyst,  Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,03,Above 50K,Environ Surveillance & Policy
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Environmental Health Emergency Data Analyst,  Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,03,Above 50K,Environ Surveillance & Policy
DEPARTMENT OF FINANCE,Internal,ACRIS Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,ACRIS/DTM
DEPT OF ENVIRONMENT PROTECTION,External,Port Marine Engineer,PORT MARINE ENGINEER,00,Above 50K,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Internal,Port Marine Engineer,PORT MARINE ENGINEER,00,Above 50K,Marine Section
DEPT OF HEALTH/MENTAL HYGIENE,External,"Office Assistant, Bureau of Operations",COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Health Police
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Office Assistant, Bureau of Operations",COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Health Police
DEPARTMENT OF FINANCE,External,ACRIS Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,ACRIS/DTM
DEPARTMENT OF FINANCE,External,ACRIS System Tester,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,ACRIS/DTM
DEPARTMENT OF FINANCE,Internal,ACRIS System Tester,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,ACRIS/DTM
HOUSING PRESERVATION & DVLPMNT,External,Director of Tenant Interim Lease Program (TIL),ASSOCIATE HOUSING DEVELOPMENT,00,Above 50K,CHS
DEPT. OF HOMELESS SERVICES,Internal,Social Worker,SOCIAL WORKER,00,Above 50K,Path/Intake
DEPT OF HEALTH/MENTAL HYGIENE,External,"Constituent Services Associate,  Bureau of Vital Statistics",COMMUNITY COORDINATOR,00,Above 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Constituent Services Associate,  Bureau of Vital Statistics",COMMUNITY COORDINATOR,00,Above 50K,Vital Statistics/Vital Recor
DEPT OF DESIGN & CONSTRUCTION,Internal,Specification Writer,ADM ENGINEER (NON MGRL),00,Below 50K,Pub Bldgs/A&E-Arch
DEPT. OF HOMELESS SERVICES,External,Social Worker,SOCIAL WORKER,00,Above 50K,Path/Intake
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Computer Systems Manager, Bureau of Public Health Laboratory",COMPUTER SYSTEMS MANAGER,M1,Above 50K,PHL Admin & Lab Support
DEPT OF HEALTH/MENTAL HYGIENE,External,"Computer Systems Manager, Bureau of Public Health Laboratory",COMPUTER SYSTEMS MANAGER,M1,Above 50K,PHL Admin & Lab Support
DEPT OF HEALTH/MENTAL HYGIENE,External,"Reproductive Health Coordinator, Bureau of Maternal Infant and Reproductive Health",COMMUNITY COORDINATOR,00,Above 50K,"Maternal, Infant, & Repr. Hlth"
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Reproductive Health Coordinator, Bureau of Maternal Infant and Reproductive Health",COMMUNITY COORDINATOR,00,Above 50K,"Maternal, Infant, & Repr. Hlth"
TAXI & LIMOUSINE COMMISSION,External,Program Analyst (Data),STAFF ANALYST,01,Below 50K,Accounting/Cashiers
TAXI & LIMOUSINE COMMISSION,Internal,Program Analyst (Data),STAFF ANALYST,01,Below 50K,Accounting/Cashiers
DEPT OF HEALTH/MENTAL HYGIENE,External,"Triage Nurse, Bureau of STD Prevention and Control",PUBLIC HEALTH NURSE,01,Above 50K,STD Medical Services
HOUSING PRESERVATION & DVLPMNT,Internal,Director of Tenant Interim Lease Program (TIL),ASSOCIATE HOUSING DEVELOPMENT,00,Above 50K,CHS
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Triage Nurse, Bureau of STD Prevention and Control",PUBLIC HEALTH NURSE,01,Above 50K,STD Medical Services
DEPARTMENT OF INVESTIGATION,External,Data Analyst,CONFIDENTIAL INVESTIGATOR,02,Above 50K,Default
TAXI & LIMOUSINE COMMISSION,Internal,Program Analyst (Data),STAFF ANALYST,01,Below 50K,Accounting/Cashiers
HOUSING PRESERVATION & DVLPMNT,External,Auditor,CONSTRUCTION PROJECT MANAGER,01,Above 50K,Engineering and Audit
HOUSING PRESERVATION & DVLPMNT,Internal,Auditor,CONSTRUCTION PROJECT MANAGER,01,Above 50K,Engineering and Audit
DEPT OF HEALTH/MENTAL HYGIENE,External,Call Agent,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Information Support Services
DEPARTMENT OF INVESTIGATION,Internal,Data Analyst,CONFIDENTIAL INVESTIGATOR,02,Above 50K,Default
DEPT. OF HOMELESS SERVICES,Internal,HOME-STAT Data Visualization Analyst,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Managerial
DEPT. OF HOMELESS SERVICES,External,HOME-STAT Data Visualization Analyst,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Managerial
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Call Agent,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Information Support Services
TAXI & LIMOUSINE COMMISSION,Internal,Prosecuting Attorney,AGENCY ATTORNEY INTERNE,00,Above 50K,Prosecution Division
TAXI & LIMOUSINE COMMISSION,External,Prosecuting Attorney,AGENCY ATTORNEY INTERNE,00,Above 50K,Prosecution Division
TAXI & LIMOUSINE COMMISSION,Internal,Supervising Attorney - Settlements,AGENCY ATTORNEY,02,Above 50K,Prosecution Division
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Program Coordinator, Health Access Equity Unit",CITY RESEARCH SCIENTIST,02,Above 50K,Health Access Equity
TAXI & LIMOUSINE COMMISSION,Internal,Supervising Attorney - Settlements,AGENCY ATTORNEY,02,Above 50K,Prosecution Division
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Director of Communications and Partnerships (Senior Director Level), Bureau of Chronic Disease Prevention and Tobacco Control",CITY RESEARCH SCIENTIST,4B,Above 50K,tobacco Control
DEPT OF HEALTH/MENTAL HYGIENE,External,"Director of Communications and Partnerships (Senior Director Level), Bureau of Chronic Disease Prevention and Tobacco Control",CITY RESEARCH SCIENTIST,4B,Above 50K,tobacco Control
DEPT. OF HOMELESS SERVICES,External,HOME-STAT Policy Analyst,COMMUNITY COORDINATOR,00,Above 50K,Street Homelessness Solution
DEPT. OF HOMELESS SERVICES,Internal,HOME-STAT Policy Analyst,COMMUNITY COORDINATOR,00,Above 50K,Street Homelessness Solution
OFFICE OF THE COMPTROLLER,External,POLICY ANALYST (ECONOMIC OPPORTUNITY),RESEARCH AND LIAISON COORDINAT,M2,Above 50K,Policy & Research
OFFICE OF THE COMPTROLLER,Internal,POLICY ANALYST (ECONOMIC OPPORTUNITY),RESEARCH AND LIAISON COORDINAT,M2,Above 50K,Policy & Research
DEPARTMENT OF BUILDINGS,External,Data Analyst,STATISTICIAN,03,Above 50K,Buildings Analytics Team
DEPARTMENT OF BUILDINGS,Internal,Data Analyst,STATISTICIAN,03,Above 50K,Buildings Analytics Team
DEPT OF HEALTH/MENTAL HYGIENE,External,"Director, Cross Systems Initiatives, Bureau of Mental Health",ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Grant Manager, Bureau of Budget and Revenue",ADMIN CONTRACT SPECIALIST (PYR,M1,Above 50K,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Grant Manager, Bureau of Budget and Revenue",ADMIN CONTRACT SPECIALIST (PYR,M1,Above 50K,Fed-St-Other Cat Claims & Revs
LAW DEPARTMENT,Internal,Deputy Borough Chief of the Interstate Child Support Unit,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Family Court: New York
LAW DEPARTMENT,Internal,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Legal Counsel
LAW DEPARTMENT,External,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Legal Counsel
HRA/DEPT OF SOCIAL SERVICES,Internal,PRINCIPAL ASSISTANT TO EXECUTIVE OFFICE,PRINCIPAL ADMINISTRATIVE ASSOC,03,Above 50K,Prog Acct - Comp Office NM
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Director, Cross Systems Initiatives, Bureau of Mental Health",ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Mental Health
DEPARTMENT OF BUILDINGS,External,Risk Analyst,STATISTICIAN,03,Above 50K,Buildings Analytics Team
DEPARTMENT OF BUILDINGS,Internal,Risk Analyst,STATISTICIAN,03,Above 50K,Buildings Analytics Team
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Community Associate, Health Access Equity Unit",COMMUNITY ASSOCIATE,00,Below 50K,Health Access Equity
DEPT OF HEALTH/MENTAL HYGIENE,External,"Community Associate, Health Access Equity Unit",COMMUNITY ASSOCIATE,00,Below 50K,Health Access Equity
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Program Coordinator, Health Access Equity Unit",CITY RESEARCH SCIENTIST,02,Above 50K,Health Access Equity
HOUSING PRESERVATION & DVLPMNT,Internal,Building Coordination Supervisor,ASSOCIATE REAL PROPERTY MANAGE,01,Above 50K,CHS
HOUSING PRESERVATION & DVLPMNT,External,Building Coordination Supervisor,ASSOCIATE REAL PROPERTY MANAGE,01,Above 50K,CHS
DEPARTMENT OF CITY PLANNING,External,Temporary City Planning Technician - Waterfont and Open Space,CITY PLANNING TECHNICIAN,00,Below 50K,Waterfront & Open Space Plng
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Case Monitor, Bureau of Mental Health/Office of Assisted Outpatient Treatment",SOCIAL WORKER,00,Below 50K,MH - Assisted out Treatment
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Informatics Manager, Bureau of Epidemiology Services",COMPUTER SYSTEMS MANAGER,M2,Above 50K,Bureau of Epidemiology Srvcs
DEPT OF HEALTH/MENTAL HYGIENE,External,"Case Monitor, Bureau of Mental Health/Office of Assisted Outpatient Treatment",SOCIAL WORKER,00,Below 50K,MH - Assisted out Treatment
HRA/DEPT OF SOCIAL SERVICES,Internal,CUSTODIAN II,CUSTODIAN,02,Below 50K,General Support Services-NM
DEPARTMENT OF TRANSPORTATION,External,Revocable Consent Specialist,ASSISTANT URBAN DESIGNER,00,Above 50K,Franchise/Concessions/Consents
DEPARTMENT OF TRANSPORTATION,Internal,Revocable Consent Specialist,ASSISTANT URBAN DESIGNER,00,Above 50K,Franchise/Concessions/Consents
DEPARTMENT OF CITY PLANNING,Internal,Temporary City Planning Technician - Waterfont and Open Space,CITY PLANNING TECHNICIAN,00,Below 50K,Waterfront & Open Space Plng
DEPT OF ENVIRONMENT PROTECTION,External,Supervisor (Watershed Maintenance),SUPERVISOR (WATERSHED MAINTENA,01,Above 50K,Richmond Chlortn Cty Oprtn Re
DEPT OF ENVIRONMENT PROTECTION,Internal,Supervisor (Watershed Maintenance),SUPERVISOR (WATERSHED MAINTENA,01,Above 50K,Richmond Chlortn Cty Oprtn Re
HUMAN RIGHTS COMMISSION,External,AGENCY ATTORNEY,AGENCY ATTORNEY,02,Above 50K,Legal Staff
HUMAN RIGHTS COMMISSION,Internal,AGENCY ATTORNEY,AGENCY ATTORNEY,02,Above 50K,Legal Staff
DEPARTMENT OF TRANSPORTATION,External,Community Liaison,COMMUNITY COORDINATOR,00,Above 50K,Qns Boro Comm Off
DEPARTMENT OF TRANSPORTATION,Internal,Community Liaison,COMMUNITY COORDINATOR,00,Above 50K,Qns Boro Comm Off
LAW DEPARTMENT,External,E-Discovery Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,E - Discovery
LAW DEPARTMENT,Internal,E-Discovery Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,E - Discovery
DEPARTMENT OF FINANCE,Internal,Project Manager,COMPUTER SYSTEMS MANAGER,M2,Above 50K,Project Management Office
DEPARTMENT OF FINANCE,External,Project Manager,COMPUTER SYSTEMS MANAGER,M2,Above 50K,Project Management Office
DEPARTMENT OF TRANSPORTATION,External,Civil Engineer 2,CIVIL ENGINEER,02,Above 50K,Bridges Roadways
DEPT OF HEALTH/MENTAL HYGIENE,External,Research Associate - Health Access Equity,CITY RESEARCH SCIENTIST,01,Above 50K,Health Access Equity
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Research Associate - Health Access Equity,CITY RESEARCH SCIENTIST,01,Above 50K,Health Access Equity
DEPARTMENT OF BUILDINGS,External,"Technical Director, Fa̤ades & Local Law",ADMINISTRATIVE ENGINEER,M1,Above 50K,Facades
DEPARTMENT OF BUILDINGS,Internal,"Technical Director, Fa̤ades & Local Law",ADMINISTRATIVE ENGINEER,M1,Above 50K,Facades
DEPT OF DESIGN & CONSTRUCTION,Internal,Engineer-in-Charge,CIVIL ENGINEER,03,Above 50K,Infra-Const-Various
DEPARTMENT OF TRANSPORTATION,Internal,Civil Engineer 2,CIVIL ENGINEER,02,Above 50K,Bridges Roadways
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Associate, Bureau of Tuberculosis Control",LABORATORY ASSOCIATE,02,Below 50K,TB Clinic Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Informatics Manager, Bureau of Epidemiology Services",COMPUTER SYSTEMS MANAGER,M2,Above 50K,Bureau of Epidemiology Srvcs
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Associate, Bureau of Tuberculosis Control",LABORATORY ASSOCIATE,02,Below 50K,TB Clinic Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Research Associate, Health Access Equity",CITY RESEARCH SCIENTIST,02,Above 50K,Health Access Equity
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Research Associate, Health Access Equity",CITY RESEARCH SCIENTIST,02,Above 50K,Health Access Equity
DEPT OF DESIGN & CONSTRUCTION,External,Engineer-in-Charge,CIVIL ENGINEER,03,Above 50K,Infra-Const-Various
HOUSING PRESERVATION & DVLPMNT,Internal,MWBE/Business Services Director,ADMINISTRATIVE BUSINESS PROMOT,M1,Above 50K,Dep Comm - Pol & Ext Aff
HOUSING PRESERVATION & DVLPMNT,External,MWBE/Business Services Director,ADMINISTRATIVE BUSINESS PROMOT,M1,Above 50K,Dep Comm - Pol & Ext Aff
DEPT OF PARKS & RECREATION,Internal,Education and Wildlife Analyst,COMMUNITY COORDINATOR,00,Above 50K,Arsenal North Rangers
DEPT OF PARKS & RECREATION,Internal,Education and Wildlife Analyst,COMMUNITY COORDINATOR,00,Above 50K,Arsenal North Rangers
DEPT OF ENVIRONMENT PROTECTION,Internal,Water Quality Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Environmental Planning Support
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Program Coordinator, Health Access Equity",CITY RESEARCH SCIENTIST,01,Above 50K,Health Access Equity
DEPT OF HEALTH/MENTAL HYGIENE,External,"Program Coordinator, Health Access Equity",CITY RESEARCH SCIENTIST,01,Above 50K,Health Access Equity
DEPARTMENT OF INVESTIGATION,Internal,CONFIDENTIAL INVESTIGATOR,CONFIDENTIAL INVESTIGATOR,01,Below 50K,Default
DEPARTMENT OF INVESTIGATION,External,CONFIDENTIAL INVESTIGATOR,CONFIDENTIAL INVESTIGATOR,01,Below 50K,Default
